id,title,song_count,slug
9163,"Travelling Wilburys",4,travelling-wilburys
9164,"Travers Pat",1,travers-pat
9165,Travis,71,travis
9166,"Travis Randy",12,travis-randy
9167,"Travis Tritt",11,travis-tritt
9168,"Treble Charger",20,treble-charger
9169,Trees,1,trees
9170,Tremeloes,1,tremeloes
9171,Trenchcoats,1,trenchcoats
9172,"Trestl Michael",1,trestl-michael
9173,"Trevino Rick",3,trevino-rick
9174,Tribe,13,tribe
9175,"Trick Daddy",7,trick-daddy
9176,"Trickett Ed",1,trickett-ed
9177,Tricky,71,tricky
9178,"Trik Turner",6,trik-turner
9179,Trina,3,trina
9180,"Trini Lopez",1,trini-lopez
9181,Trin-i-tee,8,trin-i-tee
9182,Trio,13,trio
9183,"Trio Kwek Kwek",1,trio-kwek-kwek
9184,"Trio Rio",2,trio-rio
9185,Triplea,1,triplea
9186,Triplets,1,triplets
9187,"Tripping Daisy",23,tripping-daisy
9188,"Trisha Yearwood",3,trisha-yearwood
9189,"Trisha Yearwood Feat. Garth Brooks",1,trisha-yearwood-feat-garth-brooks
9190,Tristania,18,tristania
9191,Tristitia,15,tristitia
9192,"Tritt Travis",1,tritt-travis
9193,Triumph,13,triumph
9194,Trix,1,trix
9195,"Trixi And Udo",1,trixi-and-udo
9196,Trixter,18,trixter
9197,"Troccoli Kathy",3,troccoli-kathy
9198,Troggs,3,troggs
9199,Troll,4,troll
9200,Troop,1,troop
9201,"Trout Fishing In America",42,trout-fishing-in-america
9202,"Trout Walter",1,trout-walter
9203,"Troutman Roger",1,troutman-roger
9206,"Truck Stop",19,truck-stop
9207,"Trude Heer",1,trude-heer
9208,"Trude Herr",2,trude-herr
9209,Trumbleweeds,1,trumbleweeds
9210,Trust,11,trust
9211,Tsatthoggua,14,tsatthoggua
9212,"Tsg Hofgeismar",1,tsg-hofgeismar
9213,Tubes,1,tubes
9214,"Tubes, The",1,tubes-the
9215,"Tucker Leslie",1,tucker-leslie
9216,"Tucker Tanya",1,tucker-tanya
9217,Tuesdays,6,tuesdays
9218,"Tullio Piscopo",1,tullio-piscopo
9219,Tulus,3,tulus
9220,"Tura Satana",4,tura-satana
9221,"Turin Brakes",1,turin-brakes
9222,Turk,2,turk
9223,"Turk Roy",1,turk-roy
9224,Turkish,1,turkish
9225,"Turner Tina",25,turner-tina
9226,"Turos Tutti",1,turos-tutti
9227,Turtles,3,turtles
9228,Tuxedomoon,8,tuxedomoon
9229,"Tv Theme",1,tv-theme
9230,Tv-2,1,tv-2
9231,"Twain Shania",13,twain-shania
9232,Tweet,13,tweet
9233,"Twelfth Night",22,twelfth-night
9234,"Twenty 4 Seven",5,twenty-4-seven
9235,"Twila Paris",16,twila-paris
9236,"Twilight Ophera",6,twilight-ophera
9237,"Twin Obscenity",16,twin-obscenity
9238,"Twist Of Fate",1,twist-of-fate
9239,Twista,3,twista
9240,"Twisted Perfection",1,twisted-perfection
9241,"Twisted Sister",2,twisted-sister
9242,"Twitty Conway",1,twitty-conway
9243,Twiztid,12,twiztid
9244,"Two Cowboys",1,two-cowboys
9245,"Two In One",6,two-in-one
9246,"Two Man Sound",1,two-man-sound
9247,"Two Nice Girls",19,two-nice-girls
9248,"Two Nu",2,two-nu
9249,"Two Of Us",2,two-of-us
9250,"Two Small Rappers",1,two-small-rappers
9251,"Twyman James",1,twyman-james
9252,Tycoon,12,tycoon
9253,"Tygers Of Pan Tang",1,tygers-of-pan-tang
9254,Tyketto,20,tyketto
9255,Tyla,28,tyla
9256,"Tyler Bonnie",18,tyler-bonnie
9257,"Tyler Stephen",1,tyler-stephen
9258,"Type 0 Negative",9,type-0-negative
9259,"Type O Negative",50,type-o-negative
9260,"Typically Tropical",1,typically-tropical
9261,Tyrese,26,tyrese
9262,"Tyson Ian",4,tyson-ian
9263,"U 2",40,u-2
9264,"U 2 And B.b. King",1,u-2-and-b-b-king
9265,"U 96",3,u-96
9266,"U. D. O.",50,u-d-o
9267,U.N.K.L.E.,12,u-n-k-l-e
9268,"U.n.s. 5",2,u-n-s-5
