Artist URI|Artist Name|Album URI
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|4GccVYaVjLR03tRAlS2zjS
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|3DKuaIs6SPOZVdDmxAkz7j
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|2Ja7Tk5mgWqmBx6OGPQqNf
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|2oZzKVi2mqkQnZOad6DXMw
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|0YoVmumSU8FKfb4rKq4GOw
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|1xzoQ8yyxsZfmgcOVX3Nek
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|7EwRlM4DNOsTgD5rj3XgIh
4awU3JRQXIYoxabdwO92AU|Edie Brickell & New Bohemians|5FO5HrNhjg5qY0KOZ0bn1V
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|76PHsfTipK4RukrEKho6cM
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|4Jhc4qi12iSSe4EMus1yB6
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|1B8vpgxKtzduZNaOsfDlb7
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|1PaDYb80RWwRZe9QLgWG76
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|3ZJELuDGLSQSlAZRS6IvAj
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|44ceFRde6hAN4wIdp0QHG0
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|4wKbdNRULFak0vuQY5IvZf
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|5dYDEONz6satpJ4TAsQPx6
4GHF2TzZ7lTe8qNvLl8R01|Elf Power|06urnrjFnjhyISzVPTvTiS
6uothxMWeLWIhsGeF7cyo4|Enya|2fsLmnHfFDrssEdhLMyaML
6uothxMWeLWIhsGeF7cyo4|Enya|26qiUsjX8tgvAqb2H8bucZ
6uothxMWeLWIhsGeF7cyo4|Enya|6NmHmh4JZy8fLaL2YQ6P9M
6uothxMWeLWIhsGeF7cyo4|Enya|4FStw70Tk1spCN8V1o11oW
6uothxMWeLWIhsGeF7cyo4|Enya|2CemN34rnpp6wrCFJo555S
6uothxMWeLWIhsGeF7cyo4|Enya|3IcVjLxdbASosZxCdgb2EM
6uothxMWeLWIhsGeF7cyo4|Enya|0Ha9xFhTEcaedcyCJO28r7
6uothxMWeLWIhsGeF7cyo4|Enya|6oDOsxO2DrqoPr3xqPA6hO
6uothxMWeLWIhsGeF7cyo4|Enya|2efGoxVxoX55EATLcD0o8y
6aIBBSprVv4xXTT6vzONXU|Eric Reed|5hgDmpI3ISYVnqZrpAZf2N
6aIBBSprVv4xXTT6vzONXU|Eric Reed|1gi4GX3ypSg5cgtZDZnPAM
6aIBBSprVv4xXTT6vzONXU|Eric Reed|7K356kopdGUNnFfCPuBKD3
6aIBBSprVv4xXTT6vzONXU|Eric Reed|4kUPPJX1ZnXO9LrDqEbVnH
6aIBBSprVv4xXTT6vzONXU|Eric Reed|7sOdeyi7kirawygLJHz01A
6aIBBSprVv4xXTT6vzONXU|Eric Reed|67rgmP6VOGCtQgOGarWsOD
6aIBBSprVv4xXTT6vzONXU|Eric Reed|3MuW4a7hKYPEtj80iIVubV
6aIBBSprVv4xXTT6vzONXU|Eric Reed|1PuB2jkInjEjb2OvBX9z4U
6aIBBSprVv4xXTT6vzONXU|Eric Reed|1LFfPnj2bH1O8D8FGyQhvt
6RTCb5pWKinqlUyG2qacit|Ernest Ranglin|73uBk1YPtf0LTZhfrHiVCH
6RTCb5pWKinqlUyG2qacit|Ernest Ranglin|1rglsEFTG6YKaXYHL16FsB
6RTCb5pWKinqlUyG2qacit|Ernest Ranglin|1kLE1p8FFYWD3r3OT3iEwi
6RTCb5pWKinqlUyG2qacit|Ernest Ranglin|6M10LPUO4DSWmgSTbUrAVt
